d	date	day_of_week	cnt	w	dateY	dofw	sp	diao	ifworkday
2013-09-23	238	1	2330.0	38	2013-09-23	1.0			0.0
2013-09-24	239	2	2483.0	38	2013-09-24	2.0			0.0
2013-09-25	240	3	1949.0	38	2013-09-25	3.0			0.0
2013-09-26	241	4	1898.0	38	2013-09-26	4.0			0.0
2013-09-27	242	5	2025.0	38	2013-09-27	5.0			0.0
2013-09-28	243	6	243.0	38	2013-09-28	6.0			1.0
2013-09-29	244	7	2876.0	38	2013-09-29	7.0	0.0	1.0	0.0
2013-09-30	245	1	2172.0	39	2013-09-30	1.0			0.0
2013-10-02	246	3	117.0	39	2013-10-02	3.0	1.0	1.0	1.0
2013-10-04	247	5	17.0	39	2013-10-04	5.0	1.0	1.0	1.0
2013-10-05	248	6	16.0	39	2013-10-05	6.0	1.0		1.0
2013-10-06	249	7	19.0	39	2013-10-06	7.0	1.0		1.0
2013-10-08	250	2	4723.0	40	2013-10-08	2.0			0.0
2013-10-09	251	3	2681.0	40	2013-10-09	3.0			0.0
2013-10-10	252	4	1876.0	40	2013-10-10	4.0			0.0
2013-10-11	253	5	1339.0	40	2013-10-11	5.0			0.0
2013-10-12	254	6	1414.0	40	2013-10-12	6.0	0.0	1.0	0.0
2013-10-13	255	7	19.0	40	2013-10-13	7.0			1.0
2013-10-14	256	1	2250.0	41	2013-10-14	1.0			0.0
2013-10-15	257	2	2669.0	41	2013-10-15	2.0			0.0
2013-10-16	258	3	2540.0	41	2013-10-16	3.0			0.0
2013-10-17	259	4	997.0	41	2013-10-17	4.0			0.0
2013-10-18	260	5	1808.0	41	2013-10-18	5.0			0.0
2013-10-19	261	6	171.0	41	2013-10-19	6.0			1.0
2013-10-21	262	1	1909.0	42	2013-10-21	1.0			0.0
2013-10-22	263	2	2541.0	42	2013-10-22	2.0			0.0
2013-10-23	264	3	1722.0	42	2013-10-23	3.0			0.0
2013-10-24	265	4	1606.0	42	2013-10-24	4.0			0.0
2013-10-25	266	5	1664.0	42	2013-10-25	5.0			0.0
2013-10-26	267	6	192.0	42	2013-10-26	6.0			1.0
2013-10-28	268	1	2436.0	43	2013-10-28	1.0			0.0
2013-10-29	269	2	2077.0	43	2013-10-29	2.0			0.0
2013-10-30	270	3	1789.0	43	2013-10-30	3.0			0.0
2013-10-31	271	4	1321.0	43	2013-10-31	4.0			0.0
2013-11-01	272	5	1714.0	43	2013-11-01	5.0			0.0
2013-11-02	273	6	129.0	43	2013-11-02	6.0			1.0
2013-11-04	274	1	2059.0	44	2013-11-04	1.0			0.0
2013-11-05	275	2	1849.0	44	2013-11-05	2.0			0.0
2013-11-06	276	3	1631.0	44	2013-11-06	3.0			0.0
2013-11-07	277	4	1197.0	44	2013-11-07	4.0			0.0
2013-11-08	278	5	2099.0	44	2013-11-08	5.0			0.0
2013-11-09	279	6	206.0	44	2013-11-09	6.0			1.0
2013-11-11	280	1	1712.0	45	2013-11-11	1.0			0.0
2013-11-12	281	2	2338.0	45	2013-11-12	2.0			0.0
2013-11-13	282	3	2103.0	45	2013-11-13	3.0			0.0
2013-11-14	283	4	1130.0	45	2013-11-14	4.0			0.0
2013-11-15	284	5	1693.0	45	2013-11-15	5.0			0.0
2013-11-16	285	6	170.0	45	2013-11-16	6.0			1.0
2013-11-18	286	1	2057.0	46	2013-11-18	1.0			0.0
2013-11-19	287	2	2160.0	46	2013-11-19	2.0			0.0
2013-11-20	288	3	1519.0	46	2013-11-20	3.0			0.0
2013-11-21	289	4	1357.0	46	2013-11-21	4.0			0.0
2013-11-22	290	5	1698.0	46	2013-11-22	5.0			0.0
2013-11-23	291	6	192.0	46	2013-11-23	6.0			1.0
2013-11-24	292	7	22.0	46	2013-11-24	7.0			1.0
2013-11-25	293	1	2118.0	47	2013-11-25	1.0			0.0
2013-11-26	294	2	2170.0	47	2013-11-26	2.0			0.0
2013-11-27	295	3	1681.0	47	2013-11-27	3.0			0.0
2013-11-28	296	4	1454.0	47	2013-11-28	4.0			0.0
2013-11-29	297	5	1849.0	47	2013-11-29	5.0			0.0
2013-11-30	298	6	778.0	47	2013-11-30	6.0			1.0
2013-12-02	299	1	2290.0	48	2013-12-02	1.0			0.0
2013-12-03	300	2	2126.0	48	2013-12-03	2.0			0.0
2013-12-04	301	3	2309.0	48	2013-12-04	3.0			0.0
2013-12-05	302	4	1288.0	48	2013-12-05	4.0			0.0
2013-12-06	303	5	1654.0	48	2013-12-06	5.0			0.0
2013-12-07	304	6	377.0	48	2013-12-07	6.0			1.0
2013-12-09	305	1	2026.0	49	2013-12-09	1.0			0.0
2013-12-10	306	2	2002.0	49	2013-12-10	2.0			0.0
2013-12-11	307	3	2739.0	49	2013-12-11	3.0			0.0
2013-12-12	308	4	1726.0	49	2013-12-12	4.0			0.0
2013-12-13	309	5	1474.0	49	2013-12-13	5.0			0.0
2013-12-14	310	6	255.0	49	2013-12-14	6.0			1.0
2013-12-16	311	1	2156.0	50	2013-12-16	1.0			0.0
2013-12-17	312	2	1680.0	50	2013-12-17	2.0			0.0
2013-12-18	313	3	1979.0	50	2013-12-18	3.0			0.0
2013-12-19	314	4	1207.0	50	2013-12-19	4.0			0.0
2013-12-20	315	5	1831.0	50	2013-12-20	5.0			0.0
2013-12-21	316	6	278.0	50	2013-12-21	6.0			1.0
2013-12-23	317	1	1587.0	51	2013-12-23	1.0			0.0
2013-12-24	318	2	1514.0	51	2013-12-24	2.0			0.0
2013-12-25	319	3	1584.0	51	2013-12-25	3.0			0.0
2013-12-26	320	4	1365.0	51	2013-12-26	4.0			0.0
2013-12-27	321	5	1642.0	51	2013-12-27	5.0			0.0
2013-12-28	322	6	205.0	51	2013-12-28	6.0			1.0
2013-12-30	323	1	1660.0	52	2013-12-30	1.0			0.0
2013-12-31	324	2	950.0	52	2013-12-31	2.0			0.0
2014-01-02	325	4	4254.0	52	2014-01-02	4.0			0.0
2014-01-03	326	5	4569.0	52	2014-01-03	5.0			0.0
2014-01-04	327	6	649.0	52	2014-01-04	6.0			1.0
2014-01-06	328	1	5202.0	53	2014-01-06	1.0			0.0
2014-01-07	329	2	5090.0	53	2014-01-07	2.0			0.0
2014-01-08	330	3	3488.0	53	2014-01-08	3.0			0.0
2014-01-09	331	4	2171.0	53	2014-01-09	4.0			0.0
2014-01-10	332	5	3075.0	53	2014-01-10	5.0			0.0
2014-01-11	333	6	441.0	53	2014-01-11	6.0			1.0
2014-01-13	334	1	2593.0	54	2014-01-13	1.0			0.0
2014-01-14	335	2	2796.0	54	2014-01-14	2.0			0.0
2014-01-15	336	3	2546.0	54	2014-01-15	3.0			0.0
2014-01-16	337	4	2706.0	54	2014-01-16	4.0			0.0
2014-01-17	338	5	3006.0	54	2014-01-17	5.0			0.0
2014-01-18	339	6	411.0	54	2014-01-18	6.0			1.0
2014-01-20	340	1	3591.0	55	2014-01-20	1.0			0.0
2014-01-21	341	2	3528.0	55	2014-01-21	2.0			0.0
2014-01-22	342	3	3534.0	55	2014-01-22	3.0			0.0
2014-01-23	343	4	2142.0	55	2014-01-23	4.0			0.0
2014-01-24	344	5	3887.0	55	2014-01-24	5.0			0.0
2014-01-25	345	6	324.0	55	2014-01-25	6.0			1.0
2014-01-26	346	7	1659.0	55	2014-01-26	7.0	0.0	1.0	0.0
2014-01-27	347	1	4320.0	56	2014-01-27	1.0			0.0
2014-01-28	348	2	3957.0	56	2014-01-28	2.0			0.0
2014-01-29	349	3	1598.0	56	2014-01-29	3.0			0.0
2014-01-30	350	4	244.0	56	2014-01-30	4.0			0.0
2014-02-05	351	3	23.0	57	2014-02-05	3.0	1.0	1.0	1.0
2014-02-06	352	4	19.0	57	2014-02-06	4.0	1.0	1.0	1.0
2014-02-07	353	5	4061.0	57	2014-02-07	5.0			0.0
2014-02-08	354	6	3332.0	57	2014-02-08	6.0	0.0	1.0	0.0
2014-02-09	355	7	13.0	57	2014-02-09	7.0			1.0
2014-02-10	356	1	3710.0	58	2014-02-10	1.0			0.0
2014-02-11	357	2	3525.0	58	2014-02-11	2.0			0.0
2014-02-12	358	3	2282.0	58	2014-02-12	3.0			0.0
2014-02-13	359	4	1576.0	58	2014-02-13	4.0			0.0
2014-02-14	360	5	1772.0	58	2014-02-14	5.0			0.0
2014-02-15	361	6	272.0	58	2014-02-15	6.0			1.0
2014-02-16	362	7	18.0	58	2014-02-16	7.0			1.0
2014-02-17	363	1	1835.0	59	2014-02-17	1.0			0.0
2014-02-18	364	2	1904.0	59	2014-02-18	2.0			0.0
2014-02-19	365	3	2040.0	59	2014-02-19	3.0			0.0
2014-02-20	366	4	1532.0	59	2014-02-20	4.0			0.0
2014-02-21	367	5	1905.0	59	2014-02-21	5.0			0.0
2014-02-22	368	6	250.0	59	2014-02-22	6.0			1.0
2014-02-23	369	7	13.0	59	2014-02-23	7.0			1.0
2014-02-24	370	1	2387.0	60	2014-02-24	1.0			0.0
2014-02-25	371	2	3224.0	60	2014-02-25	2.0			0.0
2014-02-26	372	3	2471.0	60	2014-02-26	3.0			0.0
2014-02-27	373	4	1566.0	60	2014-02-27	4.0			0.0
2014-02-28	374	5	1308.0	60	2014-02-28	5.0			0.0
2014-03-01	375	6	305.0	60	2014-03-01	6.0			1.0
2014-03-02	376	7	27.0	60	2014-03-02	7.0			1.0
2014-03-03	377	1	2206.0	61	2014-03-03	1.0			0.0
2014-03-04	378	2	2018.0	61	2014-03-04	2.0			0.0
2014-03-05	379	3	1722.0	61	2014-03-05	3.0			0.0
2014-03-06	380	4	1437.0	61	2014-03-06	4.0			0.0
2014-03-07	381	5	1064.0	61	2014-03-07	5.0			0.0
2014-03-08	382	6	390.0	61	2014-03-08	6.0			1.0
2014-03-10	383	1	2065.0	62	2014-03-10	1.0			0.0
2014-03-11	384	2	1802.0	62	2014-03-11	2.0			0.0
2014-03-12	385	3	1693.0	62	2014-03-12	3.0			0.0
2014-03-13	386	4	1392.0	62	2014-03-13	4.0			0.0
2014-03-14	387	5	1129.0	62	2014-03-14	5.0			0.0
2014-03-15	388	6	239.0	62	2014-03-15	6.0			1.0
2014-03-17	389	1	1932.0	63	2014-03-17	1.0			0.0
2014-03-18	390	2	2848.0	63	2014-03-18	2.0			0.0
2014-03-19	391	3	1933.0	63	2014-03-19	3.0			0.0
2014-03-20	392	4	1124.0	63	2014-03-20	4.0			0.0
2014-03-21	393	5	1500.0	63	2014-03-21	5.0			0.0
2014-03-22	394	6	222.0	63	2014-03-22	6.0			1.0
2014-03-24	395	1	1582.0	64	2014-03-24	1.0			0.0
2014-03-25	396	2	2051.0	64	2014-03-25	2.0			0.0
2014-03-26	397	3	2954.0	64	2014-03-26	3.0			0.0
2014-03-27	398	4	1534.0	64	2014-03-27	4.0			0.0
2014-03-28	399	5	2473.0	64	2014-03-28	5.0			0.0
2014-03-29	400	6	139.0	64	2014-03-29	6.0			1.0
2014-03-30	401	7	25.0	64	2014-03-30	7.0			1.0
2014-03-31	402	1	1739.0	65	2014-03-31	1.0			0.0
2014-04-01	403	2	1915.0	65	2014-04-01	2.0			0.0
2014-04-02	404	3	1787.0	65	2014-04-02	3.0			0.0
2014-04-03	405	4	1668.0	65	2014-04-03	4.0			0.0
2014-04-04	406	5	1348.0	65	2014-04-04	5.0			0.0
2014-04-05	407	6	25.0	65	2014-04-05	6.0	1.0		1.0
2014-04-06	408	7	22.0	65	2014-04-06	7.0	1.0		1.0
2014-04-07	409	1	59.0	66	2014-04-07	1.0	1.0	1.0	1.0
2014-04-08	410	2	3076.0	66	2014-04-08	2.0			0.0
2014-04-09	411	3	2469.0	66	2014-04-09	3.0			0.0
2014-04-10	412	4	1603.0	66	2014-04-10	4.0			0.0
2014-04-11	413	5	1460.0	66	2014-04-11	5.0			0.0
2014-04-12	414	6	182.0	66	2014-04-12	6.0			1.0
2014-04-14	415	1	1901.0	67	2014-04-14	1.0			0.0
2014-04-15	416	2	1870.0	67	2014-04-15	2.0			0.0
2014-04-16	417	3	1682.0	67	2014-04-16	3.0			0.0
